market_ids,prices,shares,firm_ids,nesting_ids,product_ids,mktsize,nestshare,xi,alpha,rho
1,3.5843294,.004329429,1,1,1,1203,.051043417,2.8260882,-1.4945582,.79262936
1,3.6076081,.0041964944,2,1,2,1203,.049476136,2.8544123,-1.4945582,.79262936
1,3.4900723,.0091585945,3,1,3,1203,.10797866,2.8405898,-1.4945582,.79262936
1,3.2020893,.036836963,4,1,4,1203,.4343031,2.6988022,-1.4945582,.79262936
1,3.3190506,.030297076,5,1,5,1203,.35719869,2.833077,-1.4945582,.79262936
1,3.4715807,.0056487587,1,2,6,1203,.062798917,2.7592974,-1.4945582,.79262936
1,3.4873016,.0082813911,2,2,7,1203,.092066661,2.8621285,-1.4945582,.79262936
1,3.4928715,.0089715095,3,2,8,1203,.099738911,2.8870513,-1.4945582,.79262936
1,3.2505722,.062872991,4,2,9,1203,.69897753,2.9286847,-1.4945582,.79262936
1,3.4749017,.0041752895,5,2,10,1203,.046417922,2.7015829,-1.4945582,.79262936
1,3.4464827,.027899044,1,3,11,1203,.42772958,2.7982419,-1.4945582,.79262936
1,3.7255521,.003119451,2,3,12,1203,.047825348,2.7609918,-1.4945582,.79262936
1,3.6738944,.0045312163,3,3,13,1203,.069469593,2.7612047,-1.4945582,.79262936
1,3.4386587,.018483208,4,3,14,1203,.28337225,2.7011678,-1.4945582,.79262936
1,3.5537231,.011192976,5,3,15,1203,.17160326,2.7691262,-1.4945582,.79262936
1,3.3048975,.020502789,1,4,16,1203,.21471867,2.8248537,-1.4945582,.79262936
1,3.6949818,.0013497918,2,4,17,1203,.014135906,2.8436825,-1.4945582,.79262936
1,3.4082263,.0093780654,3,4,18,1203,.098213263,2.8170819,-1.4945582,.79262936
1,3.1800649,.063080519,4,4,19,1203,.66062063,2.8713377,-1.4945582,.79262936
1,3.7712293,.0011755838,5,4,20,1203,.012311486,2.9289832,-1.4945582,.79262936
1,3.4501629,.014257847,1,5,21,1203,.15937537,2.914964,-1.4945582,.79262936
1,3.4677396,.0099168643,2,5,22,1203,.11085151,2.8659434,-1.4945582,.79262936
1,3.4900091,.0072149946,3,5,23,1203,.080649793,2.8332665,-1.4945582,.79262936
1,3.3433709,.013775939,4,5,24,1203,.15398856,2.7482269,-1.4945582,.79262936
1,3.2408359,.044295151,5,5,25,1203,.49513477,2.8371813,-1.4945582,.79262936
2,3.593425,.0038733261,1,1,1,1104,.041755214,2.9388542,-1.4945582,.79262936
2,3.6029952,.0043333746,2,1,2,1104,.046714626,2.9764309,-1.4945582,.79262936
2,3.4936371,.011168407,3,1,3,1104,.12039762,3.0093155,-1.4945582,.79262936
2,3.2004993,.049975473,4,1,4,1104,.5387454,2.8819373,-1.4945582,.79262936
2,3.3147705,.02341211,5,1,5,1104,.25238714,2.8954775,-1.4945582,.79262936
2,3.4901624,.0086609498,1,2,6,1104,.097475804,2.9172578,-1.4945582,.79262936
2,3.4810541,.010770482,2,2,7,1104,.12121782,2.9488485,-1.4945582,.79262936
2,3.4752257,.020568872,3,2,8,1104,.2314951,3.0743001,-1.4945582,.79262936
2,3.25945,.032862719,4,2,9,1104,.36985782,2.8489761,-1.4945582,.79262936
2,3.4781542,.015989281,5,2,10,1104,.17995349,3.0264485,-1.4945582,.79262936
2,3.4469364,.022937933,1,3,11,1104,.34420335,2.826618,-1.4945582,.79262936
2,3.7139399,.0056062276,2,3,12,1104,.084126249,2.9335027,-1.4945582,.79262936
2,3.6762059,.0054523237,3,3,13,1104,.081816792,2.8713346,-1.4945582,.79262936
2,3.443207,.021144817,4,3,14,1104,.31729609,2.8041646,-1.4945582,.79262936
2,3.5483234,.011499343,5,3,15,1104,.1725575,2.8349569,-1.4945582,.79262936
2,3.3076084,.032013588,1,4,16,1104,.31470466,3.0227704,-1.4945582,.79262936
2,3.679285,.0029771104,2,4,17,1104,.029266026,3.0857143,-1.4945582,.79262936
2,3.4027991,.016983993,3,4,18,1104,.16695854,3.0335886,-1.4945582,.79262936
2,3.1675208,.049034908,4,4,19,1104,.48203012,2.9018185,-1.4945582,.79262936
2,3.765213,.00071621843,5,4,20,1104,.0070406753,2.9186933,-1.4945582,.79262936
2,3.4548032,.0095230676,1,5,21,1104,.091821373,3.006671,-1.4945582,.79262936
2,3.4732156,.008787578,2,5,22,1104,.084729783,3.0175211,-1.4945582,.79262936
2,3.5117126,.0024674442,3,5,23,1104,.023791084,2.8116641,-1.4945582,.79262936
2,3.3314159,.01912036,4,5,24,1104,.18435842,2.9668064,-1.4945582,.79262936
2,3.2541983,.063814528,5,5,25,1104,.61529934,3.1013288,-1.4945582,.79262936
3,3.582396,.0050065387,1,1,1,1030,.061727706,2.8157904,-1.4945582,.79262936
3,3.6037159,.0037310664,2,1,2,1030,.046001874,2.7866766,-1.4945582,.79262936
3,3.5198159,.0057825013,3,1,3,1030,.071294874,2.7521412,-1.4945582,.79262936
