market_ids,prices,shares,firm_ids,nesting_ids,product_ids,demand_instruments1,demand_instruments2
1,3.58432944866814,0.00432942884253682,1,1,1,3.19759497148265,-2.3817414845378
1,3.60760802654899,0.00419649432916267,2,1,2,3.24196984371308,-2.42674136152052
1,3.49007233210247,0.00915859438936873,3,1,3,3.14187011290793,-1.767583136098
1,3.20208926719428,0.0368369626572284,4,1,4,2.85440375187881,-0.662854778433317
1,3.31905043975404,0.0302970771182359,5,1,5,3.00872914207537,-0.841105948685039
1,3.47158082270945,0.00564875869263063,1,2,6,3.13930136362847,-2.19447317869082
1,3.48730148631757,0.00828139073740414,2,2,7,3.16942855068777,-1.90972936137011
1,3.49287147416414,0.00897150956950012,3,2,8,3.1573347696826,-1.85889337485027
1,3.25057229459752,0.0628729907044617,4,2,9,2.85451169905972,-0.295769739911477
1,3.47490172768254,0.0041752897582699,5,2,10,3.10807049186225,-2.45342855060673
1,3.44648259595391,0.0278990445041948,1,3,11,3.10807014492253,-0.693809246789508
1,3.72555204834048,0.00311945090712946,2,3,12,3.33669546464909,-2.43689510187479
1,3.6738942898842,0.00453121618789866,3,3,13,3.31217226992542,-2.13450800981363
1,3.43865874420028,0.0184832084873876,4,3,14,3.0934681124859,-1.01304481027394
1,3.55372312581306,0.0111929758342973,5,3,15,3.18740087754337,-1.40801944566863
1,3.30489746492492,0.0205027884692376,1,4,16,2.97576884339048,-1.23786141412581
1,3.69498180220138,0.00134979178645551,2,4,17,3.33574309670546,-3.4097348831425
1,3.40822621767098,0.00937806532879475,3,4,18,3.09026551693701,-1.8545839362376
1,3.18006482069265,0.0630805210867169,4,4,19,2.84417943627511,-0.353861250547281
1,3.77122915025339,0.00117558378800413,5,4,20,3.38267078646651,-3.53696017766841
1,3.45016285144456,0.014257847359558,1,5,21,3.0907337058531,-1.47986523200625
1,3.46773969559177,0.00991686389147311,2,5,22,3.13792364623851,-1.75885248231859
1,3.49000905565058,0.0072149945407075,3,5,23,3.17246068716456,-2.01208331058175
1,3.34337086649245,0.0137759387773798,4,5,24,3.03014820022955,-1.50401281828789
